px,py
1.6958,0.0
1.7008,0.0
1.7058,0.0
1.7108,0.0
1.7158,0.0
1.7208,0.0
1.7258,0.0
1.7308,0.0
1.7358,0.0
1.7408,0.0
1.7458,0.0
1.7508,0.0
1.7558,0.0
1.7608,0.0
1.7658,0.0
1.7708,0.0
1.7758,0.0
1.7808,0.0
1.7858,0.0
1.7908,0.0
1.7958,0.0
1.8008,0.0
1.8058,0.0
1.8108,0.0
1.8158,0.0
1.8208,0.0
1.8258,0.0
1.8308,0.0
1.8358,0.0
1.8408,0.0
1.8458,0.0
1.8508,0.0
1.8558,0.0
1.8608,0.0
1.8658,0.0
1.8758,0.0
1.8808,0.0
1.8858,0.0
1.8908,0.0
1.8958,0.0
1.9008,0.0
1.9058,0.0
1.9108,0.0
1.9158,0.0
1.9208,0.0
1.9258,0.0
1.9308,0.0
1.9358,0.0
1.9408,0.0
1.9458,0.0
1.9508,0.0
1.9558,0.0
1.9608,0.0
1.9658,0.0
1.9758,0.0
1.9808,0.0
1.9858,0.0
1.9908,0.0
1.9958,0.0
2.0008,0.0
2.0058,0.0
2.0108,0.0
2.0158,0.0
2.0208,0.0
2.0258,0.0
2.0308,0.0
2.0358,0.0
2.0408,0.0
2.0458,0.0
2.0558,0.0
2.0608,0.0
2.0658,0.0
2.0708,0.0
2.0758,0.0
2.0808,0.0
2.0858,0.0
2.0908,0.0
2.0958,0.0
2.1008,0.0
2.1058,0.0
2.1108,0.0
2.1158,0.0
2.1208,0.0
2.1258,0.0
2.1308,0.0
2.1358,0.0
2.1408,0.0
2.1458,0.0
2.1508,0.0
2.1558,0.0
2.1608,0.0
2.1658,0.0
2.1708,0.0
2.1758,0.0
2.1808,0.0
2.1858,0.0
2.1908,0.0
2.1958,0.0
2.2008,0.0
2.2058,0.0
2.2108,0.0
2.2158,0.0
2.2208,0.0
2.2258,0.0
2.2308,0.0
2.2358,0.0
2.2408,0.0
2.2458,0.0
2.2508,0.0
2.2558,0.0
2.2608,0.0
2.2658,0.0
2.2708,0.0
2.2758,0.0
2.2808,0.0
2.2858,0.0
2.2908,0.0
2.2958,0.0
2.3008,0.0
2.3058,0.0
2.3108,0.0
2.3158,0.0
2.3208,0.0
2.3258,0.0
2.3308,0.0
2.3358,0.0
2.3408,0.0
2.3458,0.0
2.3508,0.0
2.3558,0.0
2.3608,0.0
2.3658,0.0
2.3708,0.0
2.3758,0.0
2.3808,0.0
2.3858,0.0
2.3908,0.0
2.3958,0.0
2.4008,0.0
2.4058,0.0
2.4108,0.0
2.4158,0.0
2.4208,0.0
2.4258,0.0
2.4308,0.0
2.4358,0.0
2.4408,0.0
2.4508,0.0
2.4558,0.0
2.4608,0.0
2.4658,0.0
2.4708,0.0
2.4758,0.0
2.4808,0.0
2.4858,0.0
2.4908,0.0
2.4958,0.0
2.5008,0.0
2.5058,0.0
2.5108,0.0
2.5158,0.0
2.5208,0.0
2.5258,0.0
2.5308,0.0
2.5358,0.0
2.5408,0.0
2.5458,0.0
2.5508,0.0
2.5558,0.0
2.5608,0.0
2.5658,0.0
2.5708,0.0
2.5758,0.0
2.5808,0.0
2.5858,0.0
2.5908,0.0
2.5958,0.0
2.6008,0.0
2.6058,0.0
2.6108,0.0
2.6158,0.0
2.6208,0.0
2.6258,0.0
2.6308,0.0
2.6358,0.0
2.6408,0.0
2.6458,0.0
2.6508,0.0
2.6558,0.0
2.6608,0.0
2.6658,0.0
2.6708,0.0
2.6758,0.0
2.6808,0.0
2.6858,0.0
2.6908,0.0
2.6958,0.0
2.7008,0.0
2.7058,0.0
2.7108,0.0
2.7158,0.0
2.7208,0.0
2.7258,0.0
2.7308,0.0
2.7358,0.0
2.7408,0.0
2.7458,0.0
2.7508,0.0
2.7558,0.0
2.7608,0.0
2.7658,0.0
2.7708,0.0
2.7758,0.0
2.7808,0.0
2.7858,0.0
2.7908,0.0
2.7958,0.0
2.8008,0.0
2.8058,0.0
2.8108,0.0
2.8158,0.0
2.8208,0.0
2.8258,0.0
2.8308,0.0
2.8358,0.0
2.8408,0.0
2.8458,0.0
2.8508,0.0
2.8558,0.0
2.8608,0.0
2.8658,0.0
2.8708,0.0
2.8758,0.0
2.8808,0.0
2.8858,0.0
2.8908,0.0
2.8958,0.0
2.9008,0.0
2.9058,0.0
2.9108,0.0
2.9158,0.0
2.9208,0.0
2.9258,0.0
2.9308,0.0
2.9358,0.0
2.9408,0.0
2.9458,0.0
2.9508,0.0
2.9558,0.0
2.9608,0.0
2.9658,0.0
2.9708,0.0
2.9758,0.0
2.9808,0.0
2.9858,0.0
2.9908,0.0
2.9958,0.0
3.0008,0.0
3.0058,0.0
3.0108,0.0
3.0158,0.0
3.0208,0.0
3.0258,0.0
3.0308,0.0
3.0358,0.0
3.0408,0.0
3.0458,0.0
3.0508,0.0
3.0558,0.0
3.0608,0.0
3.0658,0.0
3.0708,0.0
3.0758,0.0
3.0808,0.0
3.0858,0.0
3.0908,0.0
3.0958,0.0
3.1008,0.0
3.1058,0.0
3.1108,0.0
3.1158,0.0
3.1208,0.0
3.1258,0.0
3.1308,0.0
3.1358,0.0
3.1408,0.0
3.1458,0.0
3.1508,0.0
3.1558,0.0
3.1608,0.0
3.1658,0.0
3.1708,0.0
3.1758,0.0
3.1808,0.0
3.1858,0.0
3.1908,0.0
3.1958,0.0
3.2008,0.0
3.2058,0.0
3.2108,0.0
3.2158,0.0
3.2208,0.0
3.2258,0.0
3.2308,0.0
3.2358,0.0
3.2408,0.0
3.2458,0.0
3.2508,0.0
3.2558,0.0
3.2608,0.0
3.2658,0.0
3.2708,0.0
3.2758,0.0
3.2808,0.0
3.2858,0.0
3.2908,0.0
3.2958,0.0
3.3008,0.0
3.3058,0.0
3.3108,0.0
3.3158,0.0
3.3208,0.0
3.3258,0.0
3.3308,0.0
3.3358,0.0
3.3408,0.0
3.3458,0.0
3.3508,0.0
3.3558,0.0
3.3608,0.0
3.3658,0.0
3.3708,0.0
3.3758,0.0
3.3808,0.0
3.3858,0.0
3.3908,0.0
3.3958,0.0
3.4008,0.0
3.4058,0.0
3.4108,0.0
3.4158,0.0
3.4208,0.0
3.4258,0.0
3.4308,0.0
3.4358,0.0
3.4408,0.0
3.4458,0.0
3.4508,0.0
3.4558,0.0
3.4608,0.0
3.4658,0.0
3.4708,0.0
3.4758,0.0
3.4808,0.0
3.4858,0.0
3.4958,0.0
3.5008,0.0
3.5058,0.0
3.5108,0.0
3.5158,0.0
3.5208,0.0
3.5258,0.0
3.5308,0.0
3.5358,0.0
3.5408,0.0
3.5458,0.0
3.5508,0.0
3.5558,0.0
3.5608,0.0
3.5658,0.0
3.5708,0.0
3.5758,0.0
3.5808,0.0
3.5858,0.0
3.5908,0.0
3.6008,0.0
3.6058,0.0
3.6108,0.0
3.6158,0.0
3.6208,0.0
3.6258,0.0
3.6308,0.0
3.6358,0.0
3.6458,0.0
